portfolio,weighting,period,leverage,monthly_mean_pct,maxdd_pct,sharpe_ann,meets_3pct_month,meets_maxdd_20pct,viable,pf_monthly_1x
4stream_common_2023_2024,risk_parity,2023-01-02 -> 2024-12-30,1,0.509,-1.088,2.966,False,True,False,13.699
4stream_common_2023_2024,risk_parity,2023-01-02 -> 2024-12-30,2,1.018,-2.176,2.966,False,True,False,13.699
4stream_common_2023_2024,risk_parity,2023-01-02 -> 2024-12-30,3,1.528,-3.265,2.966,False,True,False,13.699
4stream_common_2023_2024,risk_parity,2023-01-02 -> 2024-12-30,4,2.037,-4.353,2.966,False,True,False,13.699
4stream_common_2023_2024,risk_parity,2023-01-02 -> 2024-12-30,5,2.546,-5.441,2.966,False,True,False,13.699
4stream_common_2023_2024,equal_weight,2023-01-02 -> 2024-12-30,1,0.486,-2.851,1.436,False,True,False,3.207
4stream_common_2023_2024,equal_weight,2023-01-02 -> 2024-12-30,2,0.972,-5.703,1.436,False,True,False,3.207
4stream_common_2023_2024,equal_weight,2023-01-02 -> 2024-12-30,3,1.458,-8.554,1.436,False,True,False,3.207
4stream_common_2023_2024,equal_weight,2023-01-02 -> 2024-12-30,4,1.945,-11.405,1.436,False,True,False,3.207
4stream_common_2023_2024,equal_weight,2023-01-02 -> 2024-12-30,5,2.431,-14.257,1.436,False,True,False,3.207
3stream_noBTC_common_2023_2024,risk_parity,2023-01-02 -> 2024-12-30,1,0.489,-1.462,2.397,False,True,False,8.767
3stream_noBTC_common_2023_2024,risk_parity,2023-01-02 -> 2024-12-30,2,0.977,-2.925,2.397,False,True,False,8.767
3stream_noBTC_common_2023_2024,risk_parity,2023-01-02 -> 2024-12-30,3,1.466,-4.387,2.397,False,True,False,8.767
3stream_noBTC_common_2023_2024,risk_parity,2023-01-02 -> 2024-12-30,4,1.955,-5.85,2.397,False,True,False,8.767
3stream_noBTC_common_2023_2024,risk_parity,2023-01-02 -> 2024-12-30,5,2.443,-7.312,2.397,False,True,False,8.767
3stream_noBTC_common_2023_2024,equal_weight,2023-01-02 -> 2024-12-30,1,0.447,-4.042,1.003,False,True,False,2.221
3stream_noBTC_common_2023_2024,equal_weight,2023-01-02 -> 2024-12-30,2,0.894,-8.084,1.003,False,True,False,2.221
3stream_noBTC_common_2023_2024,equal_weight,2023-01-02 -> 2024-12-30,3,1.341,-12.126,1.003,False,True,False,2.221
3stream_noBTC_common_2023_2024,equal_weight,2023-01-02 -> 2024-12-30,4,1.788,-16.168,1.003,False,True,False,2.221
3stream_noBTC_common_2023_2024,equal_weight,2023-01-02 -> 2024-12-30,5,2.235,-20.21,1.003,False,False,False,2.221
2stream_AB_FULL_2000_2024,risk_parity,2000-01-03 -> 2024-12-30,1,0.557,-29.26,0.706,False,False,False,1.657
2stream_AB_FULL_2000_2024,risk_parity,2000-01-03 -> 2024-12-30,2,1.114,-58.52,0.706,False,False,False,1.657
2stream_AB_FULL_2000_2024,risk_parity,2000-01-03 -> 2024-12-30,3,1.671,-87.78,0.706,False,False,False,1.657
2stream_AB_FULL_2000_2024,risk_parity,2000-01-03 -> 2024-12-30,4,2.228,-117.04,0.706,False,False,False,1.657
2stream_AB_FULL_2000_2024,risk_parity,2000-01-03 -> 2024-12-30,5,2.785,-146.3,0.706,False,False,False,1.657
2stream_AB_FULL_2000_2024,equal_weight,2000-01-03 -> 2024-12-30,1,0.55,-30.271,0.694,False,False,False,1.64
2stream_AB_FULL_2000_2024,equal_weight,2000-01-03 -> 2024-12-30,2,1.1,-60.542,0.694,False,False,False,1.64
2stream_AB_FULL_2000_2024,equal_weight,2000-01-03 -> 2024-12-30,3,1.65,-90.812,0.694,False,False,False,1.64
2stream_AB_FULL_2000_2024,equal_weight,2000-01-03 -> 2024-12-30,4,2.199,-121.083,0.694,False,False,False,1.64
2stream_AB_FULL_2000_2024,equal_weight,2000-01-03 -> 2024-12-30,5,2.749,-151.354,0.694,False,False,False,1.64
