test,asset,grid,tf,split,n_round,n_placebo,n_bars,n_days,efeito_round,efeito_placebo,diff,ci_lo,ci_hi
T3_magnet,WIN,g500,M5,discovery,10056,10169,24971,229,0.40270714028272797,0.4072323895719034,-0.004525249289175415,-0.02641441235113436,0.01999014703586024
T3_magnet,WIN,g500,M5,confirm,8172,8266,24972,221,0.3272465160980298,0.33101073201986225,-0.003764215921832459,-0.028675970047651482,0.020673327193368854
T3_magnet,WIN,g1000,M5,discovery,5109,4947,24971,229,0.20459733290617116,0.1981098073765568,0.006487525529614346,-0.02065192872433614,0.032350721954387665
T3_magnet,WIN,g1000,M5,confirm,4089,4083,24972,221,0.16374339259971168,0.1635031234983181,0.00024026910139357538,-0.023874718822813244,0.02533133196851677
T3_magnet,WIN,g500,M15,discovery,8465,8520,19018,519,0.4451046377116416,0.4479966347670628,-0.0028919970554212027,-0.01959379015785066,0.01442845801560443
T3_magnet,WIN,g500,M15,confirm,2741,2785,8398,221,0.32638723505596573,0.3316265777566087,-0.005239342700642968,-0.03239164086687304,0.020364967849487953
T3_magnet,WIN,g1000,M15,discovery,4315,4150,19018,519,0.22689031443895258,0.21821432327268903,0.008675991166263552,-0.00941300922159872,0.026567794299755945
T3_magnet,WIN,g1000,M15,confirm,1385,1356,8398,221,0.16492021909978566,0.16146701595618004,0.0034532031436056154,-0.021674803524648727,0.0298999761848059
T3_magnet,WIN,g500,H1,discovery,2161,2182,4846,519,0.4459347915806851,0.45026826248452334,-0.004333470903838232,-0.02884308440114715,0.023102429388802304
T3_magnet,WIN,g500,H1,confirm,706,744,2210,221,0.3194570135746606,0.33665158371040727,-0.017194570135746656,-0.05248868778280541,0.01945701357466062
T3_magnet,WIN,g1000,H1,discovery,1076,1085,4846,519,0.2220387948823772,0.22389599669830787,-0.0018572018159306591,-0.023728227048576904,0.018119583151235633
T3_magnet,WIN,g1000,H1,confirm,343,363,2210,221,0.15520361990950227,0.16425339366515837,-0.009049773755656104,-0.038461538461538436,0.02081447963800906
T3_magnet,WDO,g5,M5,discovery,21838,21844,22030,201,0.9912846118928733,0.991556967771221,-0.0002723558783477298,-0.002224053443905849,0.001454380213386608
T3_magnet,WDO,g5,M5,confirm,22239,22228,23435,206,0.9489652229571154,0.9484958395562193,0.000469383400896084,-0.004833777209578269,0.006004704009471931
T3_magnet,WDO,g10,M5,discovery,13846,13728,22030,201,0.6285065819337268,0.6231502496595551,0.005356332274171649,-0.01161790466412776,0.021296886678767616
T3_magnet,WDO,g10,M5,confirm,14404,14957,23435,206,0.6146362278643055,0.6382334115639001,-0.023597183699594626,-0.04284229861115136,-0.005040764057743132
T3_magnet,WDO,g5,M15,discovery,17428,17435,17494,477,0.9962272779238596,0.9966274151137533,-0.0004001371898937345,-0.0016541748706017962,0.0009717200951977145
T3_magnet,WDO,g5,M15,confirm,7429,7408,7812,206,0.9509728622631849,0.9482846902201741,0.0026881720430107503,-0.003707843638221714,0.009198695503871956
T3_magnet,WDO,g10,M15,discovery,13417,13481,17494,477,0.7669486681147822,0.7706070652795244,-0.0036583971647421443,-0.014163882068288478,0.006562240427064015
T3_magnet,WDO,g10,M15,confirm,4823,4977,7812,206,0.6173835125448028,0.6370967741935484,-0.01971326164874554,-0.04088098940325023,0.001416858669623028
T3_magnet,WDO,g5,H1,discovery,4442,4442,4461,477,0.9957408652768438,0.9957408652768438,0.0,-0.002923976608187109,0.003343997764462103
T3_magnet,WDO,g5,H1,confirm,1950,1953,2056,206,0.9484435797665369,0.9499027237354085,-0.0014591439688715901,-0.01556496082402293,0.012135922330097082
T3_magnet,WDO,g10,H1,discovery,3436,3393,4461,477,0.7702308899349921,0.7605917955615333,0.009639094373458779,-0.009168928808093871,0.02861726261434853
T3_magnet,WDO,g10,H1,confirm,1270,1294,2056,206,0.617704280155642,0.6293774319066148,-0.011673151750972721,-0.0486479071436666,0.025740291262135964
