split,hour,hod_count,hod_pct,lod_count,lod_pct,n_days,note
DISCOVERY,9,152,24.918032786885245,152.0,24.918032786885245,610,
DISCOVERY,10,122,20.0,97.0,15.901639344262295,610,
DISCOVERY,11,52,8.524590163934427,70.0,11.475409836065573,610,
DISCOVERY,12,44,7.213114754098361,53.0,8.688524590163935,610,
DISCOVERY,13,30,4.918032786885246,24.0,3.9344262295081966,610,
DISCOVERY,14,33,5.409836065573771,39.0,6.39344262295082,610,
DISCOVERY,15,39,6.39344262295082,44.0,7.213114754098361,610,
DISCOVERY,16,45,7.377049180327869,43.0,7.049180327868853,610,
DISCOVERY,17,67,10.98360655737705,68.0,11.147540983606557,610,
DISCOVERY,18,26,4.262295081967213,20.0,3.278688524590164,610,
DISCOVERY,-1,152,24.918032786885245,152.0,24.918032786885245,610,SUMMARY_1a_hora
DISCOVERY,-2,1,0.16393442622950818,,,610,AMBOS_1a_hora
CONFIRM,9,88,35.2,73.0,29.2,250,
CONFIRM,10,36,14.4,48.0,19.2,250,
CONFIRM,11,24,9.6,29.0,11.6,250,
CONFIRM,12,18,7.2,17.0,6.8,250,
CONFIRM,13,6,2.4,13.0,5.2,250,
CONFIRM,14,14,5.6,14.0,5.6,250,
CONFIRM,15,13,5.2,9.0,3.6,250,
CONFIRM,16,14,5.6,17.0,6.8,250,
CONFIRM,17,7,2.8,6.0,2.4,250,
CONFIRM,18,30,12.0,24.0,9.6,250,
CONFIRM,-1,88,35.2,73.0,29.2,250,SUMMARY_1a_hora
CONFIRM,-2,2,0.8,,,250,AMBOS_1a_hora
