year,time_slot,mean_real_volume,n_bars
2021,09:00,502817.3771929825,114
2021,09:15,499036.2368421053,114
2021,09:30,572546.254385965,114
2021,09:45,561128.6578947369,114
2021,10:00,909060.9298245613,114
2021,10:15,828676.0701754387,114
2021,10:30,1024749.5438596491,114
2021,10:45,876354.0087719298,114
2021,11:00,812164.5614035088,114
2021,11:15,745256.0614035088,114
2021,11:30,815763.5438596491,114
2021,11:45,724090.5175438597,114
2021,12:00,668795.7631578947,114
2021,12:15,605297.9736842106,114
2021,12:30,569622.4649122807,114
2021,12:45,517518.63157894736,114
2021,13:00,491719.2807017544,114
2021,13:15,478050.6228070175,114
2021,13:30,479285.2192982456,114
2021,13:45,469409.6754385965,114
2021,14:00,490615.8245614035,114
2021,14:15,494389.6140350877,114
2021,14:30,526264.0350877193,114
2021,14:45,496604.3947368421,114
2021,15:00,530061.9824561403,114
2021,15:15,490318.2368421053,114
2021,15:30,495651.2368421053,114
2021,15:45,505485.77192982455,114
2021,16:00,457186.6228070175,114
2021,16:15,439871.9736842105,114
2021,16:30,443945.2368421053,114
2021,16:45,432015.6929824561,114
2021,17:00,336689.65789473685,114
2021,17:15,264824.20175438595,114
2021,17:30,245035.81578947368,114
2021,17:45,161200.34210526315,114
2021,18:00,174893.97297297296,37
2021,18:15,87627.2972972973,37
2022,09:00,480443.7710843373,249
2022,09:15,416777.2168674699,249
2022,09:30,483442.2449799197,249
2022,09:45,461473.3293172691,249
2022,10:00,775069.9799196788,249
2022,10:15,695369.8313253012,249
2022,10:30,886118.248995984,249
2022,10:45,725922.048192771,249
2022,11:00,699619.4176706828,249
2022,11:15,613246.9196787148,249
2022,11:30,691416.7791164658,249
2022,11:45,589472.2610441768,249
2022,12:00,534503.4618473896,249
2022,12:15,461700.6104417671,249
2022,12:30,442941.9598393574,249
2022,12:45,387633.8554216867,249
2022,13:00,375758.5220883534,249
2022,13:15,359359.4176706827,249
2022,13:30,365495.6144578313,249
2022,13:45,354717.7710843373,249
2022,14:00,384109.3293172691,249
2022,14:15,370612.6425702811,249
2022,14:30,383405.9919678715,249
2022,14:45,377123.8112449799,249
2022,15:00,420699.9879518072,249
2022,15:15,395804.0923694779,249
2022,15:30,403755.6947791165,249
2022,15:45,408005.1726907631,249
2022,16:00,397648.0281124498,249
2022,16:15,381478.7068273092,249
2022,16:30,391553.6064257028,249
2022,16:45,391332.1526104418,249
2022,17:00,297256.4899598394,249
2022,17:15,221749.2530120482,249
2022,17:30,212697.41767068274,249
2022,17:45,157154.8714859438,249
2022,18:00,189363.54117647058,85
2022,18:15,82916.90588235293,85
2023,09:00,512224.7125506073,247
2023,09:15,402773.5425101215,247
2023,09:30,459342.4331983806,247
2023,09:45,389488.4979757085,247
2023,10:00,778741.4089068826,247
2023,10:15,767791.024291498,247
2023,10:30,878733.7085020243,247
2023,10:45,695777.5951417004,247
2023,11:00,691325.6801619433,247
2023,11:15,583300.1336032388,247
2023,11:30,634391.995951417,247
2023,11:45,536546.8421052631,247
2023,12:00,517641.82995951414,247
2023,12:15,426195.7246963563,247
2023,12:30,389567.82591093116,247
2023,12:45,342078.7975708502,247
2023,13:00,334190.3238866397,247
2023,13:15,316680.25506072876,247
2023,13:30,324076.74493927124,247
2023,13:45,321066.3765182186,247
2023,14:00,352201.0688259109,247
2023,14:15,336584.05263157893,247
2023,14:30,354499.75303643727,247
2023,14:45,338290.85425101215,247
2023,15:00,385712.4210526316,247
2023,15:15,361570.25910931174,247
2023,15:30,374228.96356275305,247
2023,15:45,329526.2510121458,247
2023,16:00,351768.65587044536,247
2023,16:15,340770.85020242917,247
2023,16:30,358406.74493927124,247
2023,16:45,330694.81376518216,247
2023,17:00,270169.8906882591,247
2023,17:15,201157.8137651822,247
2023,17:30,194394.86234817814,247
2023,17:45,141186.1862348178,247
2023,18:00,163823.22619047618,84
2023,18:15,89337.92857142857,84
2024,09:00,695962.096,250
2024,09:15,482021.332,250
2024,09:30,525747.572,250
2024,09:45,467180.32,250
2024,10:00,803250.86,250
2024,10:15,807221.132,250
2024,10:30,929200.556,250
2024,10:45,705354.168,250
2024,11:00,695853.296,250
2024,11:15,596358.02,250
2024,11:30,654981.252,250
2024,11:45,528837.696,250
2024,12:00,505635.152,250
2024,12:15,407335.536,250
2024,12:30,380334.196,250
2024,12:45,330923.824,250
2024,13:00,342308.008,250
2024,13:15,308820.288,250
2024,13:30,324008.504,250
2024,13:45,330304.088,250
2024,14:00,354527.796,250
2024,14:15,347736.8,250
2024,14:30,350791.372,250
2024,14:45,339370.344,250
2024,15:00,368364.452,250
2024,15:15,333633.424,250
2024,15:30,339339.204,250
2024,15:45,314162.436,250
2024,16:00,318333.076,250
2024,16:15,289953.78,250
2024,16:30,298952.496,250
2024,16:45,309178.112,250
2024,17:00,267122.672,250
2024,17:15,190943.044,250
2024,17:30,172973.748,250
2024,17:45,150417.86,250
2024,18:00,104261.74,250
2024,18:15,68524.808,250
