stock,split,k,direction,n,corr
VALE3,DISCOVERY,1,acao->WIN,22042,-0.010618141241998755
VALE3,DISCOVERY,1,WIN->acao,22300,0.014395083960359283
VALE3,DISCOVERY,2,acao->WIN,21782,-0.01222260774201868
VALE3,DISCOVERY,2,WIN->acao,22298,-0.014281248616950555
VALE3,DISCOVERY,3,acao->WIN,21531,-0.010026744119848783
VALE3,DISCOVERY,3,WIN->acao,22296,-0.007046206216661659
VALE3,DISCOVERY,4,acao->WIN,21273,0.017211209682748575
VALE3,DISCOVERY,4,WIN->acao,22294,-0.010751070599780933
VALE3,DISCOVERY,5,acao->WIN,21014,0.016063896665553745
VALE3,DISCOVERY,5,WIN->acao,22292,-0.0011274561174516667
VALE3,DISCOVERY,6,acao->WIN,20755,0.005460367492185328
VALE3,DISCOVERY,6,WIN->acao,22290,-0.004371401256314988
VALE3,CONFIRM,1,acao->WIN,21237,0.005693869249085236
VALE3,CONFIRM,1,WIN->acao,21488,-0.011939315869882483
VALE3,CONFIRM,2,acao->WIN,20985,0.0035257836773226396
VALE3,CONFIRM,2,WIN->acao,21487,-0.013417288427001017
VALE3,CONFIRM,3,acao->WIN,20741,-0.00012572428578425457
VALE3,CONFIRM,3,WIN->acao,21486,0.00892648135598314
VALE3,CONFIRM,4,acao->WIN,20489,-0.00829955314757803
VALE3,CONFIRM,4,WIN->acao,21485,-0.002292820670509795
VALE3,CONFIRM,5,acao->WIN,20237,-0.0009504255970671599
VALE3,CONFIRM,5,WIN->acao,21484,-0.001219497569891049
VALE3,CONFIRM,6,acao->WIN,19985,-0.012166068472937776
VALE3,CONFIRM,6,WIN->acao,21483,-0.010424476487384322
PETR4,DISCOVERY,1,acao->WIN,21986,-0.017889931838111394
PETR4,DISCOVERY,1,WIN->acao,22248,-0.0039485464036226525
PETR4,DISCOVERY,2,acao->WIN,21723,-0.008988848265711754
PETR4,DISCOVERY,2,WIN->acao,22246,-0.019208004970787375
PETR4,DISCOVERY,3,acao->WIN,21468,0.0005149808891153695
PETR4,DISCOVERY,3,WIN->acao,22244,0.002992877036633117
PETR4,DISCOVERY,4,acao->WIN,21206,-0.008797548777411499
PETR4,DISCOVERY,4,WIN->acao,22242,0.0004926939000342964
PETR4,DISCOVERY,5,acao->WIN,20944,0.0001721170693456017
PETR4,DISCOVERY,5,WIN->acao,22240,-0.007929416928607694
PETR4,DISCOVERY,6,acao->WIN,20682,-0.004537813527506286
PETR4,DISCOVERY,6,WIN->acao,22238,-0.006707938315377069
PETR4,CONFIRM,1,acao->WIN,21211,-0.009853371370673873
PETR4,CONFIRM,1,WIN->acao,21466,-0.010414300588666811
PETR4,CONFIRM,2,acao->WIN,20955,-0.003878758368574719
PETR4,CONFIRM,2,WIN->acao,21465,0.0031666143715797816
PETR4,CONFIRM,3,acao->WIN,20708,0.007365523774810103
PETR4,CONFIRM,3,WIN->acao,21464,-0.0028761138025088623
PETR4,CONFIRM,4,acao->WIN,20452,-0.008095344856564882
PETR4,CONFIRM,4,WIN->acao,21463,0.005248656186743538
PETR4,CONFIRM,5,acao->WIN,20196,0.00036827717217247216
PETR4,CONFIRM,5,WIN->acao,21462,-0.007667715031780924
PETR4,CONFIRM,6,acao->WIN,19942,-0.005399695996139941
PETR4,CONFIRM,6,WIN->acao,21461,-0.007736078423442517
ITUB4,DISCOVERY,1,acao->WIN,22034,0.00381811458265466
ITUB4,DISCOVERY,1,WIN->acao,22292,0.003727943073553213
ITUB4,DISCOVERY,2,acao->WIN,21775,-0.007205376932011694
ITUB4,DISCOVERY,2,WIN->acao,22290,-0.016379265464621873
ITUB4,DISCOVERY,3,acao->WIN,21521,0.002699627203037545
ITUB4,DISCOVERY,3,WIN->acao,22288,0.005552223672305042
ITUB4,DISCOVERY,4,acao->WIN,21262,0.0034599077609568448
ITUB4,DISCOVERY,4,WIN->acao,22286,0.006807631573350204
ITUB4,DISCOVERY,5,acao->WIN,21003,-0.005789151807298914
ITUB4,DISCOVERY,5,WIN->acao,22284,-0.002960309192453322
ITUB4,DISCOVERY,6,acao->WIN,20744,-0.006290839524920292
ITUB4,DISCOVERY,6,WIN->acao,22282,-0.0030240020395115377
ITUB4,CONFIRM,1,acao->WIN,21242,-0.0003953987080167651
ITUB4,CONFIRM,1,WIN->acao,21492,0.019517260597719313
ITUB4,CONFIRM,2,acao->WIN,20991,-0.012275190809076904
ITUB4,CONFIRM,2,WIN->acao,21491,-0.0003764427810656006
ITUB4,CONFIRM,3,acao->WIN,20749,0.013422484227288629
ITUB4,CONFIRM,3,WIN->acao,21490,0.00941789494338085
ITUB4,CONFIRM,4,acao->WIN,20498,-0.00996728987362434
ITUB4,CONFIRM,4,WIN->acao,21489,-0.012427877619303829
ITUB4,CONFIRM,5,acao->WIN,20247,-0.006264775429175251
ITUB4,CONFIRM,5,WIN->acao,21488,0.0005532962337691236
ITUB4,CONFIRM,6,acao->WIN,19996,0.0034485046854601303
ITUB4,CONFIRM,6,WIN->acao,21487,-0.010200716273223241
