split,checkpoint,side,n,pct_touch_60min,ci_lo_60,ci_hi_60,median_min_to_touch_60,pct_touch_eod,ci_lo_eod,ci_hi_eod,median_min_to_touch_eod
CONFIRM,10:00,neg,97,84.5360824742268,77.31958762886597,91.75257731958763,0.0,93.81443298969072,88.65979381443299,97.9381443298969,0.0
CONFIRM,10:00,pos,77,89.6103896103896,81.81818181818181,96.1038961038961,0.0,96.1038961038961,90.9090909090909,100.0,0.0
CONFIRM,11:00,neg,116,50.86206896551724,41.35775862068966,60.3448275862069,0.0,75.86206896551724,68.10344827586206,83.62068965517241,30.0
CONFIRM,11:00,pos,91,53.84615384615385,43.956043956043956,64.83516483516483,0.0,80.21978021978022,70.32967032967034,87.91208791208791,15.0
CONFIRM,12:00,neg,114,34.21052631578947,26.29385964912281,42.98245614035088,15.0,67.54385964912281,58.75,76.3157894736842,45.0
CONFIRM,12:00,pos,98,33.6734693877551,24.489795918367346,41.83673469387755,15.0,70.40816326530613,61.224489795918366,78.57142857142857,60.0
CONFIRM,13:00,neg,119,19.327731092436977,12.605042016806722,27.73109243697479,15.0,60.50420168067227,51.260504201680675,68.9285714285714,90.0
CONFIRM,13:00,pos,102,23.52941176470588,15.686274509803921,31.372549019607842,0.0,56.86274509803921,47.05882352941177,66.66666666666667,75.0
CONFIRM,14:00,neg,113,22.123893805309734,15.044247787610619,30.088495575221238,30.0,53.98230088495575,44.24778761061947,63.716814159292035,60.0
CONFIRM,14:00,pos,104,22.115384615384613,14.423076923076923,30.76923076923077,15.0,47.11538461538461,37.5,56.73076923076923,60.0
CONFIRM,15:00,neg,110,22.727272727272727,15.431818181818183,30.931818181818162,30.0,42.72727272727273,32.72727272727273,52.72727272727273,45.0
CONFIRM,15:00,pos,110,17.272727272727273,10.909090909090908,24.545454545454547,15.0,39.09090909090909,30.88636363636364,48.18181818181818,60.0
CONFIRM,16:00,neg,102,20.588235294117645,12.745098039215685,28.431372549019606,30.0,32.35294117647059,23.529411764705884,41.1764705882353,45.0
CONFIRM,16:00,pos,110,18.181818181818183,11.818181818181818,26.363636363636363,30.0,30.909090909090907,21.818181818181817,40.0,30.0
DISCOVERY,10:00,neg,179,92.17877094972067,87.70949720670392,96.08938547486034,0.0,98.32402234636871,96.08938547486034,100.0,0.0
DISCOVERY,10:00,pos,187,90.37433155080214,86.09625668449198,94.11764705882354,0.0,98.93048128342245,97.32620320855615,100.0,0.0
DISCOVERY,11:00,neg,217,56.22119815668203,49.29723502304147,62.672811059907836,15.0,82.48847926267281,77.41935483870968,87.09677419354838,30.0
DISCOVERY,11:00,pos,249,57.028112449799195,51.40562248995984,63.06224899598393,0.0,79.91967871485943,74.6987951807229,84.73895582329317,15.0
DISCOVERY,12:00,neg,247,34.41295546558704,28.74493927125506,40.08097165991903,0.0,69.63562753036437,63.96761133603239,75.30364372469636,60.0
DISCOVERY,12:00,pos,240,35.41666666666667,29.583333333333332,41.666666666666664,0.0,67.5,61.666666666666664,73.75,45.0
DISCOVERY,13:00,neg,240,24.166666666666668,18.75,30.0,15.0,60.83333333333333,54.583333333333336,67.08333333333333,75.0
DISCOVERY,13:00,pos,255,27.450980392156865,21.568627450980394,32.95098039215685,15.0,61.1764705882353,55.294117647058826,67.05882352941177,60.0
DISCOVERY,14:00,neg,248,29.03225806451613,23.79032258064516,34.67741935483871,15.0,55.64516129032258,49.596774193548384,61.693548387096776,45.0
DISCOVERY,14:00,pos,240,23.75,18.333333333333332,29.166666666666668,15.0,52.083333333333336,45.416666666666664,58.333333333333336,60.0
DISCOVERY,15:00,neg,249,24.497991967871485,19.27710843373494,29.728915662650593,15.0,44.97991967871486,38.95582329317269,51.00401606425703,45.0
DISCOVERY,15:00,pos,248,27.016129032258064,21.774193548387096,32.66129032258065,15.0,46.37096774193548,40.32258064516129,52.41935483870968,45.0
DISCOVERY,16:00,neg,252,22.22222222222222,17.063492063492063,27.38095238095238,15.0,33.33333333333333,27.77777777777778,38.888888888888886,30.0
DISCOVERY,16:00,pos,249,24.899598393574294,19.27710843373494,30.923694779116467,15.0,35.7429718875502,29.718875502008032,41.76706827309237,30.0
